brandDrugName,originalDrugName,drugName,drugId,sponsor,properties,therapeuticArea,indication,diseaseName,diseaseIds,diseaseClass,reviewType,yearApproval
Nextstellis,"Drospirenone, estetrol","Drospirenone,estetrol","CHEMBL1509,CHEMBL1230314",Mayne Pharma,Spironolactone and oestrogen analogues,Other indication,To prevent pregnancy,reproductive behaviour measurement,EFO_0007862,Not serious,S,2021
Nexviazyme,Avalglucosidase alfa,Avalglucosidasealfa,CHEMBL4594320,Sanofi,Recombinant alpha-glucosidase,Other indication,Pompe disease,glycogen storage disease II,MONDO_0009290,Serious,"P,O,B,F",2021
Nulibry,Fosdenopterin,Fosdenopterin,CHEMBL2338675,BridgeBio,cPMP,Other indication,MoCD type A,sulfite oxidase deficiency due to molybdenum cofactor deficiency,MONDO_0020480,Serious,"P,O,B",2021
Pepaxto,Melphalan flufenamide,Melphalanflufenamide,CHEMBL4303060,Oncopeptides,Peptide-conjugated alkylating drug,NA,Multiple myeloma,multiple myeloma,EFO_0001378,Serious,"P,O,A",2021
Ponvory,Ponesimod,Ponesimod,CHEMBL1096146,J&J,S1P receptor modulator,Other indication,Relapsing multiple sclerosis,multiple sclerosis,MONDO_0005301,Serious,S,2021
Pylarify,Piflufolastat F-18,PiflufolastatF-18,CHEMBL4297334,Progenics,Radiolabelled PSMA imaging agent,Other indication,Prostate cancer imaging,prostate carcinoma,EFO_0001663,Serious,P,2021
Qelbree,Viloxazine,Viloxazine,CHEMBL306700,Supernus,SNRI,Other indication,ADHD,attention deficit hyperactivity disorder,EFO_0003888,Not serious,S,2021
Qulipta,Atogepant,Atogepant,CHEMBL3991065,AbbVie,CGRP receptor antagonist,Other indication,Episodic migraine,migraine disorder,MONDO_0005277,Not serious,S,2021
Rezurock,Belumosudil,Belumosudil,CHEMBL2005186,Kadmon,ROCK2 kinase inhibitor,Other indication,Chronic GVHD,graft versus host disease,MONDO_0013730,Serious,"P,O,B",2021
Rybrevant,Amivantamab,Amivantamab,CHEMBL4297774,J&J,EGFRxMETR bispecific antibody,Oncology,EGFR exon 20-mutated NSCLC,non-small cell lung carcinoma,EFO_0003060,Serious,"P,B,A",2021
Rylaze,Asparaginase erwinia chrysanthemi,Asparaginaseerwiniachrysanthemi,CHEMBL1863514,Jazz,Recombinant asparagine-specific enzyme,NA,"ALL and LBL, in patients allergic to E. coli-derived products",acute lymphoblastic leukemia; lymphoblastic lymphoma,"EFO_0000220,MONDO_0000873",Serious,"S,O,F",2021
Saphnelo,Anifrolumab,Anifrolumab,CHEMBL2364653,AstraZeneca,IFNAR-targeted mAb,Other indication,SLE,systemic lupus erythematosus,MONDO_0007915,Serious,"S,F",2021
Scemblix,Asciminib,Asciminib,CHEMBL4208229,Novartis,ABL/BCR-ABL1  kinase inhibitor,Oncology,Ph+ CML,Blast Phase Chronic Myelogenous Leukemia; BCR-ABL1 Positive,EFO_1000131,Serious,"P,O,B,A,F",2021
Skytrofa,Lonapegsomatropin,Lonapegsomatropin,CHEMBL4298185,Ascendis Pharma,PEGylated human growth hormone,Other indication,Growth failure due to GHD,Growth delay,HP_0001510,Not serious,"S,O",2021
Tavneos,Avacopan,Avacopan,CHEMBL3989871,ChemoCentryx,Complement 5a receptor antagonist,Other indication,ANCA-associated vasculitis,Anti-neutrophil cytoplasmic antibody-associated vasculitis,MONDO_0015492,Serious,"S,O",2021
Tepmetko,Tepotinib,Tepotinib,CHEMBL3402762,EMD Serono,MET kinase inhibitor,Oncology,NSCLC,non-small cell lung carcinoma,EFO_0003060,Serious,"P,O,A",2021
Tezspire,Tezepelumab,Tezepelumab,CHEMBL3707229,Astrazeneca/Amgen,TSLP-targeted mAb,Other indication,Serious asthma,asthma,MONDO_0004979,Serious,P,2021
Tivdak,Tisotumab vedotin,Tisotumabvedotin,CHEMBL4297841,Seagen/Genmab,Tissue-factor-directed ADC,Oncology,Cervical cancer,cervical cancer,MONDO_0002974,Serious,"P,A",2021
Truseltiq,Infigratinib,Infigratinib,CHEMBL1852688,BridgeBio,FGFR2 kinase inhibitor,Oncology,FGFR2-mutated bile duct cancer,bile duct cancer,MONDO_0003059,Serious,"P,O,A,F",2021
Ukoniq,Umbralisib,Umbralisib,CHEMBL3948730,TG Therapeutics,PI3Kdelta and CK1epsilon inhibitor,Oncology,"MZL, follicular lymphoma",MZL; follicular lymphoma,"EFO_1000630,MONDO_0018906",Serious,"P,O,B,A",2021
Verquvo,Vericiguat,Vericiguat,CHEMBL4066936,Merck & Co./Bayer,sGC stimulator,Other indication,Chronic heart failure,coronary artery disease,EFO_0001645,Serious,"P,F",2021
Voxzogo,Vosoritide,Vosoritide,CHEMBL3707276,Biomarin,CNP analogue,Other indication,Achondroplasia,achondroplasia,MONDO_0007037,Not serious,"P,O,A",2021
Vyvgart,Efgartigimod alfa,Efgartigimodalfa,CHEMBL4297551,Argenx,FcRn-binding Fc fragment,Other indication,Myasthenia gravis,Myasthenia gravis,EFO_0004991,Serious,"S,O,F",2021
Welireg,Belzutifan,Belzutifan,CHEMBL4585668,Merck & Co.,HIF-2alpha inhibitor,Oncology,von Hippel-Lindau disease,von Hippel-Lindau disease,MONDO_0008667,Serious,"P,O",2021
Zegalogue,Dasiglucagon,Dasiglucagon,CHEMBL4297741,Zealand Pharma,Glucagon receptor agonist,Other indication,Serious hypoglycaemia,GCGR-related hyperglucagonemia,EFO_0001360,Serious,S,2021
Zynlonta,Loncastuximab tesirine,Loncastuximabtesirine,CHEMBL4297778,ADC Therapeutics,CD19-targeted ADC,Oncology,B-cell lymphoma,B-cell non-Hodgkins lymphoma,EFO_1001938,Serious,"P,O,A",2021
Amvuttra,Vutrisiran,Vutrisiran,CHEMBL4594511,Alnylam,TTR-targeted siRNA,Other indication,Polyneuropathy of hereditary TTR-mediated amyloidosis,familial amyloid neuropathy,EFO_0004129,Serious,"S,O,F",2022
Briumvi,Ublituximab,Ublituximab,CHEMBL2108354,TG Therapeutics,CD20-targeted mAb,Other indication,Relapsing forms of multiple sclerosis,relapsing-remitting multiple sclerosis,EFO_0003929,Serious,S,2022
Camzyos,Mavacamten,Mavacamten,CHEMBL4297517,Bristol Myers Squibb,Cardiac myosin inhibitor,Other indication,Classes of obstructive HCM (Hypertrophic Obstructive Cardiomyopathy),hypertrophic cardiomyopathy,EFO_0000538,Serious,"S,O,B",2022
Cibinqo,Abrocitinib,Abrocitinib,CHEMBL3655081,Pfizer,JAK inhibitor,Other indication,Atopic dermatitis,atopic eczema,EFO_0000274,Not serious,"P,B",2022
Daxxify,DaxibotulinumtoxinA,DaxibotulinumtoxinA,CHEMBL3707359,Revance,Botulinum toxin,Other indication,Glabellar lines,Facial wrinkling,HP_0009762,Not serious,S,2022
Elahere,Mirvetuximab soravtansine,Mirvetuximabsoravtansine,CHEMBL3545132,ImmunoGen,FR_-targeted antibody-drug conjugate,Oncology,Ovarian cancer,ovarian carcinoma,EFO_0001075,Serious,"P,O,A,F",2022
Elucirem,Gadopiclenol,Gadopiclenol,CHEMBL4297634,Guerbet,Gadolinium-based contrast agent,No human target,Lesions with abnormal vascularity,NA,NA,NA,P,2022
Enjaymo,Sutimlimab,Sutimlimab,CHEMBL4297832,Bioverativ,C1s-targeted mAb,Other indication,RBC transfusion due to haemolysis in CAD (cold agglutinin disease),"Anemia, Hemolytic, Autoimmune",EFO_1001264,Serious,"P,O,B",2022
Imjudo,Tremelimumab,Tremelimumab,CHEMBL2108658,AstraZeneca,CTLA4-targeted mAb,Oncology,Hepatocellular carcinoma,hepatocellular carcinoma,EFO_0000182,Serious,"S,O",2022
Kimmtrak,Tebentafusp,Tebentafusp,CHEMBL4297990,Immunocore,gp100 peptide HLA _ CD3 bispecific T-cell engager,Oncology,Uveal melanoma,Uveal Melanoma,EFO_1000616,Serious,"P,O,B",2022
Krazati,Adagrasib,Adagrasib,CHEMBL4594350,Mirati,KRAS-G12C inhibitor,Oncology,KRASG12C-mutated NSCLC,non-small cell lung carcinoma,EFO_0003060,Serious,"S,O,B,A,F",2022
Lunsumio,Mosunetuzumab,Mosunetuzumab,CHEMBL4297788,Roche/Genentech,CD20 _ CD3 bispecific antibody,Oncology,Follicular lymphoma,follicular lymphoma,MONDO_0018906,Serious,"P,O,B,A",2022
Lytgobi,Futibatinib,Futibatinib,CHEMBL3701238,Taiho Oncology,FGFR kinase inhibitor,Oncology,FGFR2-aberrant intrahepatic cholangiocarcinoma,intrahepatic cholangiocarcinoma,EFO_1001961,Serious,"P,O,B,A,F",2022
Mounjaro,Tirzepatide,Tirzepatide,CHEMBL4297839,Eli Lilly,GIP receptor and GLP1 receptor agonist,Other indication,Type 2 diabetes,type 2 diabetes mellitus,MONDO_0005148,Not concordant,S,2022
NexoBrid,Anacaulase,Anacaulase,NA,Mediwound,Proteolytic enzymes from pineapple plants,No human target,Eschar removal after thermal burns,NA,NA,NA,"S,O",2022
Omlonti,Omidenepag isopropyl,Omidenepagisopropyl,CHEMBL4297666,Santen,Prostaglandin E2 receptor agonist,Other indication,Intraocular pressure in open-angle glaucoma or ocular hypertension,"ocular hypertension, open-angle glaucoma","EFO_1001069,EFO_0004190",Serious,S,2022
Opdualag,"Relatlimab, nivolumab","Relatlimab,nivolumab","CHEMBL3990044,CHEMBL2108738",Bristol Myers Squibb,LAG3-targeted mAb plus PD1-targeted mAb,Oncology,Melanoma,melanoma,EFO_0000756,Serious,"P,O,F",2022
Pluvicto,Lutetium Lu-177 vipivotide tetraxetan,LutetiumLu-177vipivotidetetraxetan,CHEMBL4594406,Novartis,PSMA-binding radioligand therapeutic agent,Oncology,PSMA-positive prostate cancer,prostate carcinoma,EFO_0001663,Serious,"P,B",2022
Pyrukynd,Mitapivat,Mitapivat,CHEMBL4299940,Agios,Pyruvate kinase activator,Other indication,Haemolytic anaemia due to PK deficiency,hemolytic anemia,EFO_0005558,Serious,"P,O,F",2022
Quviviq,Daridorexant,Daridorexant,CHEMBL4297590,Idorsia,Orexin receptor antagonist,Other indication,Insomnia,insomnia,EFO_0004698,Not serious,S,2022
Relyvrio,"Sodium phenylbutyrate, taurursodiol","Sodiumphenylbutyrate,taurursodiol","CHEMBL1746,CHEMBL272427",Amylyx,Mechanism unknown,No human target,Amyotrophic lateral sclerosis,amyotrophic lateral sclerosis,MONDO_0004976,Serious,"P,O",2022
Rezlidhia,Olutasidenib,Olutasidenib,CHEMBL4297610,Rigel/Forma,IDH1 inhibitor,Oncology,IDH1-mutated AML,acute myeloid leukemia,EFO_0000222,Serious,"S,O",2022
Rolvedon,Eflapegrastim,Eflapegrastim,CHEMBL3833384,Spectrum,Leukocyte growth factor,Other indication,"Incidence of infection in non-myeloid malignancies, with myelosuppressive drugs",infection,EFO_0000544,Serious,S,2022
Sotyktu,Deucravacitinib,Deucravacitinib,CHEMBL4435170,Bristol Myers Squibb,TYK2 inhibitor,Other indication,Plaque psoriasis,psoriasis vulgaris,EFO_1001494,Not serious,S,2022
Spevigo,Spesolimab,Spesolimab,CHEMBL4297911,Boehringer Ingelheim,IL-36R-targeted mAb,Other indication,Generalized pustular psoriasis flares,"psoriasis 14, pustular",MONDO_0013626,Not concordant,"P,O,B",2022
Sunlenca,Lenacapavir,Lenacapavir,CHEMBL4594438,Gilead,HIV-1 capsid inhibitor,No human target,HIV-1 infection,HIV-1 infection,EFO_0000180,NA,"P,B,F",2022
Tecvayli,Teclistamab,Teclistamab,CHEMBL4594505,J&J,BCMA _ CD3 bispecific antibody,Oncology,Multiple myeloma,multiple myeloma,EFO_0001378,Serious,"P,O,B,A",2022
Terlivaz,Terlipressin,Terlipressin,CHEMBL2135460,Mallinckrodt,Vasopressin receptor agonist,Other indication,Kidney function in hepatorenal syndrome,Hepatorenal syndrome,MONDO_0001382,Serious,"P,O,F",2022
Tzield,Teplizumab,Teplizumab,CHEMBL1743078,Provention Bio,CD3-targeted antibody,Other indication,Delay onset of type 1 diabetes,type 1 diabetes mellitus,MONDO_0005147,Not concordant,"P,B",2022
Vabysmo,Faricimab,Faricimab,CHEMBL4297750,Roche/Genentech,VEGF _ ANG2 bispecific antibody,Other indication,nAMD and DME,age-related macular degeneration,EFO_0001365,Not serious,S,2022
Vivjoa,Oteseconazole,Oteseconazole,CHEMBL3311228,Mycovia,Azole antifungal,No human target,Vulvovaginal candidiasis,vulvovaginal candidiasis,EFO_0007543,NA,"P,F",2022
Vonjo,Pacritinib,Pacritinib,CHEMBL2035187,CTI Biopharma,JAK2 inhibitor,Oncology,Myelofibrosis,myelofibrosis,MONDO_0044903,Serious,"P,O,A,F",2022
Voquezna Triple Pak,"Vonoprazan, amoxicillin, clarithromycin","Vonoprazan,amoxicillin,clarithromycin","CHEMBL2079130,CHEMBL1082,CHEMBL1741",Phathom,Potassium-competitive acid blocker plus a penicillin class antibacterial plus a macrolide antimicrobial,Other indication,Helicobacter pylori infection,Helicobacter pylori infectious disease,EFO_1000961,Not serious,"P,F",2022
Vtama,Tapinarof,Tapinarof,CHEMBL259571,Dermavant,Aryl hydrocarbon receptor agonist,Other indication,Plaque psoriasis,psoriasis vulgaris,EFO_1001494,Not serious,S,2022
Xenoview,Xenon Xe 129 hyperpolarized,XenonXe129hyperpolarized,CHEMBL4594411,Polarean,Hyperpolarized contrast agent,No human target,MRI-evaluation of lung ventilation,NA,NA,NA,S,2022
Xenpozyme,Olipudase alfa,Olipudasealfa,CHEMBL3707358,Sanofi/Genzyme,Acid sphingomyelinase ERT,Other indication,Acid sphingomyelinase deficiency,acid sphingomyelinase deficiency,MONDO_0100464,Serious,"P,O,B,F",2022
Ztalmy,Ganaxolone,Ganaxolone,CHEMBL1568698,Marinus,GABAA receptor positive allosteric modulator,Other indication,Seizures associated with CDD,Epileptic encephalopathy,HP_0200134,Serious,"P,O",2022
