"Brand_name","Drug_name_original","Drug_name","Sponsor","DrugId","Properties","Indication","Indication_EFO","DiseaseId","TA","Review_type","Year","targetIds","has_GE","Why_no_GE","Related_indication_MoA","Related_DiseaseId_targetIds"
"Aliqopa","Copanlisib dihydrochloride","COPANLISIB","Bayer","CHEMBL3218576","PI3KŒ±/Œ¥ inhibitor","Follicular lymphoma","follicular lymphoma","MONDO_0018906","Oncology","P, O, A",2017,"ENSG00000171608; ENSG00000121879",NA,NA,NA,NA
"Solosec","Secnidazole","SECNIDAZOLE","Lupin","CHEMBL498847","Nitroimidazole antimicrobial","Bacterial vaginosis","bacterial vaginosis","EFO_0003932","Infectious","P",2017,"",NA,NA,NA,NA
"Verzenio","Abemaciclib","ABEMACICLIB","Eli Lilly","CHEMBL3301610","CDK4/6 inhibitor","HR-positive, HER2-negative breast cancer","HER2 negative breast carcinoma","EFO_0009780","Oncology","P, B",2017,"ENSG00000105810; ENSG00000135446",NA,NA,NA,NA
"Calquence","Acalabrutinib","ACALABRUTINIB","AstraZeneca/Acerta Pharma","CHEMBL3707348","BTK inhibitor","Mantle cell lymphoma","Mantle cell lymphoma","EFO_1001469","Oncology","P, O, B, A",2017,"ENSG00000010671",NA,NA,NA,NA
"Vyzulta","Latanoprostene bunod","LATANOPROSTENE BUNOD","Bausch and Lomb/Valeant Pharmaceuticals","CHEMBL2364612","Prostaglandin analogue","Intraocular pressure","intraocular pressure measurement","EFO_0004695","Ophthalmology","S",2017,"ENSG00000122420",NA,"Unknown",NA,NA
"Prevymis","Letermovir","LETERMOVIR","Merck & Co.","CHEMBL1241951","CMV DNA terminase complex inhibitor","Prophylaxis of CMV (cytomegalovirus)","cytomegalovirus infection","EFO_0001062","Infectious","P, O, B",2017,"",NA,NA,NA,NA
"Fasenra","Benralizumab","BENRALIZUMAB","AstraZeneca","CHEMBL1742991","IL-5RŒ±-directed monoclonal antibody","Severe asthma","Status Asthmaticus","EFO_0008590","Respiratory","S",2017,"ENSG00000091181",NA,"Weakly realted indication (eosinophil count)",NA,NA
"Mepsevii","Vestronidase alfa","VESTRONIDASE ALFA","Ultragenyx","CHEMBL3707382","Recombinant human lysosomal Œ≤-glucuronidase","Mucopolysaccharidosis VII","mucopolysaccharidosis type 7","MONDO_0009662","Metabolic","P, O",2017,"ENSG00000169919",NA,NA,NA,NA
"Hemlibra","Emicizumab","EMICIZUMAB","Roche/Genentech","CHEMBL3833393","Bispecific FIX and FX-directed antibody","Haemophilia A","hemophilia A","MONDO_0010602","Hematology","P, O, B",2017,"ENSG00000126218; ENSG00000101981",NA,NA,NA,NA
"Ozempic","Semaglutide","SEMAGLUTIDE","Novo Nordisk","CHEMBL2108724","GLP1 receptor agonist","Type 2 diabetes mellitus","type 2 diabetes mellitus","MONDO_0005148","Endocrine","S",2017,"ENSG00000112164",NA,NA,NA,NA
"Xepi","Ozenoxacin","OZENOXACIN","Ferrer Internacional","CHEMBL3990047","Quinolone antimicrobial","Impetigo due to Staphylococcus aureus or Streptococcus pyogenes","impetigo","EFO_1000714","Infectious","S",2017,"",NA,NA,NA,NA
"Rhopressa","Netarsudil","NETARSUDIL","Aerie Pharmaceuticals","CHEMBL4594250","RHO kinase inhibitor","Open-angle glaucoma or ocular hypertension","open-angle glaucoma; ocular hypertension","EFO_0004190; EFO_1001069","Ophthalmology","P",2017,"ENSG00000134318; ENSG00000067900",NA,"Unknown",NA,NA
"Steglatro","Ertugliflozin","ERTUGLIFLOZIN","Merck & Co./Pfizer","CHEMBL1770248","SGLT2 inhibitor","Type 2 diabetes mellitus","type 2 diabetes mellitus","MONDO_0005148","Endocrine","S",2017,"ENSG00000140675",NA,"Weakly realted indication (Disorder of carbohydrate metabolism)",NA,NA
"Macrilen","Macimorelin","MACIMORELIN","Aeterna Zentaris","CHEMBL278623","Growth hormone secretagogue receptor agonist","Diagnosis of adult growth hormone deficiency","short stature due to GHSR deficiency","MONDO_0014403","Endocrine","S, O",2017,"ENSG00000121853",NA,NA,NA,NA
"Giapreza","Angiotensin II","ANGIOTENSIN II","La Jolla Pharmaceutical Company","CHEMBL408403","Synthetic human angiotensin","Blood pressure in adults with septic or other distributive shock","septic shock; blood pressure","EFO_0006834; EFO_0004325","Cardiovascular","P",2017,"ENSG00000144891",NA,NA,NA,NA
"Zepatier","Elbasvir; grazoprevir","ELBASVIR","Merck & Co.","CHEMBL3039514","NS5A inhibitor plus NS3/4A protease inhibitor","HCV genotypes 1 and 4","hepatitis C virus infection","EFO_0003047","Infectious","P, B",2016,"",NA,NA,NA,NA
"Zepatier","Elbasvir; grazoprevir","GRAZOPREVIR","Merck & Co.","CHEMBL2063090","NS5A inhibitor plus NS3/4A protease inhibitor","HCV genotypes 1 and 4","hepatitis C virus infection","EFO_0003047","Infectious","P, B",2016,"",NA,NA,NA,NA
"Briviact","Brivaracetam","BRIVARACETAM","UCB","CHEMBL607400","Anticonvulsant with unknown MOA, binds to SV2A","Partial-onset seizures","Focal-onset seizure","HP_0007359","Neurological","S",2016,"ENSG00000159164; ENSG00000144285",NA,"Additional target (SCN1A) is not in OT",NA,NA
"Anthim","Obiltoxaximab","OBILTOXAXIMAB","Elusys Therapeutics","CHEMBL3544926","mAb against anthrax toxin","Anthrax","anthrax infection","EFO_0000778","Infectious","S, O",2016,"",NA,NA,NA,NA
"Taltz","Ixekizumab","IXEKIZUMAB","Eli Lilly","CHEMBL1743034","IL-17A antagonist","Plaque psoriasis","psoriasis vulgaris","EFO_1001494","Dermatology","S",2016,"ENSG00000112115",NA,NA,NA,NA
"Cinqair","Reslizumab","RESLIZUMAB","Teva","CHEMBL2107884","IL-5 antagonist","Severe asthma","Status Asthmaticus","EFO_0008590","Respiratory","S",2016,"ENSG00000113525",NA,NA,NA,NA
"Defitelio","Defibrotide sodium","DEFIBROTIDE SODIUM","Gentium","CHEMBL3707226","Profibrinolytic","Hepatic veno-occlusive disease","hepatic veno-occlusive disease","MONDO_0019514","Other","P, O",2016,"ENSG00000122194",NA,NA,NA,NA
"Venclexta","Venetoclax","VENETOCLAX","AbbVie","CHEMBL3137309","BCL-2 inhibitor","Chronic lymphocytic leukaemia","chronic lymphocytic leukemia","EFO_0000095","Oncology","P, O, B, A",2016,"ENSG00000171791",NA,NA,NA,NA
"Nuplazid","Pimavanserin","PIMAVANSERIN","Acadia Pharmaceuticals","CHEMBL2111101","Atypical antipsychotic","Hallucinations and delusions associated with Parkinson disease psychosis","Parkinson disease; psychosis","MONDO_0005180; EFO_0005407","Neurological","P, B",2016,"ENSG00000102468",NA,NA,NA,NA
"Tecentriq","Atezolizumab","ATEZOLIZUMAB","Genentech","CHEMBL3707227","PDL1 inhibitor","Urothelial carcinoma","urothelial carcinoma","EFO_0008528","Oncology","P, B, A",2016,"ENSG00000120217",NA,NA,NA,NA
"Ocaliva","Obeticholic acid","OBETICHOLIC ACID","Intercept","CHEMBL566315","FXR agonist","Primary biliary cholangitis","primary biliary cirrhosis","EFO_1001486","Immunology","P, O, A",2016,"ENSG00000012504",NA,NA,NA,NA
"Axumin","Fluciclovine F-18","FLUCICLOVINE F-18","Blue Earth","CHEMBL3707267","Radioactive diagnostic","Suspected prostate cancer recurrence","prostate cancer","MONDO_0008315","Oncology","P",2016,"",NA,NA,NA,NA
"Zinbryta","Daclizumab","DACLIZUMAB","Biogen","CHEMBL1201605","IL-2-targeted mAb","Multiple sclerosis","multiple sclerosis","MONDO_0005301","Neurological","S",2016,"ENSG00000134460; ENSG00000100385; ENSG00000147168",NA,NA,NA,NA
"Netspot","Gallium Ga-68 dotatate","GALLIUM GA-68 DOTATATE","Advanced Accelerator Applications","CHEMBL4297340","Radioactive diagnostic","Neuroendocrine tumours","neuroendocrine neoplasm","EFO_1001901","Oncology","P, O",2016,"",NA,NA,NA,NA
"Epclusa","Sofosbuvir; velpatasvir","SOFOSBUVIR","Gilead Sciences","CHEMBL1259059","A nucleotide analogue NS5B polymerase inhibitor plus an HCV NS5A inhibitor","genotype 1, 2, 3 or 4 chronic hepatitis C virus (HCV)","hepatitis C virus infection","EFO_0003047","Infectious","P, B",2016,"; ",NA,NA,NA,NA
"Epclusa","Sofosbuvir; velpatasvir","VELPATASVIR","Gilead Sciences","CHEMBL3545062","A nucleotide analogue NS5B polymerase inhibitor plus an HCV NS5A inhibitor","genotype 1, 2, 3 or 4 chronic hepatitis C virus (HCV)","hepatitis C virus infection","EFO_0003047","Infectious","P, B",2016,"; ",NA,NA,NA,NA
"Xiidra","Lifitegrast","LIFITEGRAST","Shire Pharmaceuticals","CHEMBL2048028","LFA1 antagonist","Dry eye disease","dry eye syndrome","EFO_1000906","Ophthalmology","P",2016,"ENSG00000160255; ENSG00000005844",NA,"Unknown",NA,NA
"Adlyxin","Lixisenatide","LIXISENATIDE","Sanofi","CHEMBL2108336","GLP1 receptor agonist","Diabetes","diabetes mellitus","EFO_0000400","Endocrine","S",2016,"ENSG00000112164",NA,NA,NA,NA
"Exondys 51","Eteplirsen","ETEPLIRSEN","Sarepta Therapeutics","CHEMBL2108278","ASO designed to target dystrophin pre-mRNA","Duchenne muscular dystrophy","Duchenne muscular dystrophy","MONDO_0010679","Neurological","P, O, A",2016,"ENSG00000198947",NA,NA,NA,NA
"Lartruvo","Olaratumab","OLARATUMAB","Eli Lilly","CHEMBL1743049","PDGFRŒ±-blocking antibody","Soft tissue sarcoma","soft tissue sarcoma","EFO_1001968","Oncology","P, O, B, A",2016,"ENSG00000134853",NA,NA,NA,NA
"Zinplava","Bezlotoxumab","BEZLOTOXUMAB","Merck & Co.","CHEMBL2108670","mAb against¬†Clostridium difficile¬†toxin","C. difficile recurrence","clostridium difficile infection","EFO_0009130","Gastrointestinal","P",2016,"",NA,NA,NA,NA
"Eucrisa","Crisaborole","CRISABOROLE","Pfizer/Anacor Pharmaceuticals","CHEMBL484785","PDE4 inhibitor","Atopic dermatitis","atopic eczema","EFO_0000274","Dermatology","S",2016,"ENSG00000184588; ENSG00000113448; ENSG00000065989; ENSG00000105650",NA,NA,NA,NA
"Rubraca","Rucaparib","RUCAPARIB","Clovis Oncology","CHEMBL1173055","PARP inhibitor","BRCA-positive ovarian cancer","ovarian cancer","MONDO_0008170","Oncology","P, O, B, A",2016,"ENSG00000041880; ENSG00000129484; ENSG00000143799",NA,NA,NA,NA
"Spinraza","Nusinersen","NUSINERSEN","Biogen/Ionis Pharmaceuticals","CHEMBL3301572","ASO designed to target SMN2 pre-mRNA","Spinal muscular atrophy","spinal muscular atrophy","EFO_0008525","Neurological","P, O",2016,"ENSG00000205571",NA,NA,NA,NA
